year,ngram
1800,0.0000000000000000000000
1801,0.0000000000000000000000
1802,0.0000000000000000000000
1803,0.0000000000000000000000
1804,0.0000000000000000000000
1805,0.0000000000000000000000
1806,0.0000000000000000000000
1807,0.0000000000000000000000
1808,0.0000000000000000000000
1809,0.0000000000000000000000
1810,0.0000000000000000000000
1811,0.0000000000000000000000
1812,0.0000000000000000000000
1813,0.0000000000000000000000
1814,0.0000000000000000000000
1815,0.0000000000000000000000
1816,0.0000000000000000000000
1817,0.0000000000000000000000
1818,0.0000000000000000000000
1819,0.0000000000000000000000
1820,0.0000000000000000000000
1821,0.0000000000000000000000
1822,0.0000000000000000000000
1823,0.0000000000000000000000
1824,0.0000000000000000000000
1825,0.0000000000000000000000
1826,0.0000000000000000000000
1827,0.0000000000000000000000
1828,0.0000000000000000000000
1829,0.0000000000000000000000
1830,0.0000000000000000000000
1831,0.0000000000000000000000
1832,0.0000000000000000000000
1833,0.0000000000000000000000
1834,0.0000000000000000000000
1835,0.0000000000801135903648
1836,0.0000000000801135903648
1837,0.0000000000801135903648
1838,0.0000000000801135903648
1839,0.0000000000801135903648
1840,0.0000000000801135903648
1841,0.0000000000801135903648
1842,0.0000000000000000000000
1843,0.0000000000000000000000
1844,0.0000000000000000000000
1845,0.0000000000000000000000
1846,0.0000000000000000000000
1847,0.0000000000000000000000
1848,0.0000000000000000000000
1849,0.0000000000000000000000
1850,0.0000000000000000000000
1851,0.0000000000000000000000
1852,0.0000000000000000000000
1853,0.0000000000000000000000
1854,0.0000000000000000000000
1855,0.0000000000000000000000
1856,0.0000000000000000000000
1857,0.0000000000000000000000
1858,0.0000000000000000000000
1859,0.0000000000000000000000
1860,0.0000000000000000000000
1861,0.0000000000000000000000
1862,0.0000000000000000000000
1863,0.0000000000000000000000
1864,0.0000000000000000000000
1865,0.0000000000000000000000
1866,0.0000000000000000000000
1867,0.0000000000000000000000
1868,0.0000000000000000000000
1869,0.0000000000000000000000
1870,0.0000000000000000000000
1871,0.0000000000000000000000
1872,0.0000000000000000000000
1873,0.0000000000000000000000
1874,0.0000000000000000000000
1875,0.0000000000000000000000
1876,0.0000000000000000000000
1877,0.0000000000000000000000
1878,0.0000000000000000000000
1879,0.0000000000000000000000
1880,0.0000000000000000000000
1881,0.0000000000000000000000
1882,0.0000000000000000000000
1883,0.0000000000000000000000
1884,0.0000000000000000000000
1885,0.0000000000000000000000
1886,0.0000000000000000000000
1887,0.0000000000000000000000
1888,0.0000000000000000000000
1889,0.0000000000497720594897
1890,0.0000000000497720594897
1891,0.0000000000497720594897
1892,0.0000000000497720594897
1893,0.0000000000497720594897
1894,0.0000000000497720594897
1895,0.0000000000497720594897
1896,0.0000000000000000000000
1897,0.0000000003000097630641
1898,0.0000000003000097630641
1899,0.0000000003000097630641
1900,0.0000000003000097630641
1901,0.0000000003000097630641
1902,0.0000000003327107181031
1903,0.0000000003327107181031
1904,0.0000000000327009550391
1905,0.0000000000327009550391
1906,0.0000000000327009550391
1907,0.0000000000327009550391
1908,0.0000000000327009550391
1909,0.0000000000000000000000
1910,0.0000000000000000000000
1911,0.0000000000000000000000
1912,0.0000000000136883718646
1913,0.0000000000136883718646
1914,0.0000000000136883718646
1915,0.0000000000136883718646
1916,0.0000000000136883718646
1917,0.0000000000136883718646
1918,0.0000000000410104252145
1919,0.0000000000408204511859
1920,0.0000000000848694061457
1921,0.0000000000848694061457
1922,0.0000000001077943240621
1923,0.0000000001077943240621
1924,0.0000000001309859889204
1925,0.0000000002347243956741
1926,0.0000000003300334370872
1927,0.0000000006530195709572
1928,0.0000000008694733147748
1929,0.0000000013988799146825
1930,0.0000000017867989449138
1931,0.0000000028352302133034
1932,0.0000000045238468447474
1933,0.0000000050312540800235
1934,0.0000000062007558571902
1935,0.0000000101860745275025
1936,0.0000000110263202774645
1937,0.0000000116615060861770
1938,0.0000000123461669776503
1939,0.0000000137207673040722
1940,0.0000000190874135187955
1941,0.0000000229527339000247
1942,0.0000000223292968678670
1943,0.0000000284447595675997
1944,0.0000000351474431265723
1945,0.0000000445602425474296
1946,0.0000000525213397237608
1947,0.0000000566450254182607
1948,0.0000000672840462849290
1949,0.0000000721944247617749
1950,0.0000000736928911920786
1951,0.0000000764631533962350
1952,0.0000000810253072652018
1953,0.0000000829657875614905
1954,0.0000000800919447469754
1955,0.0000000728175442404095
1956,0.0000000709413146560145
1957,0.0000000691235078778948
1958,0.0000000658963220200632
1959,0.0000000550016953272074
1960,0.0000000456828609266387
1961,0.0000000421331266264868
1962,0.0000000395202052234327
1963,0.0000000376393399464142
1964,0.0000000343802676248751
1965,0.0000000316160465704421
1966,0.0000000310235820247647
1967,0.0000000304032661070850
1968,0.0000000307084109450541
1969,0.0000000306655225448815
1970,0.0000000287130827556730
1971,0.0000000287203723135192
1972,0.0000000290837283472725
1973,0.0000000277704030892032
1974,0.0000000277075290617902
1975,0.0000000267035922630173
1976,0.0000000236888180163033
1977,0.0000000273392214006351
1978,0.0000000261266850921727
1979,0.0000000243199391587535
1980,0.0000000264880658845271
1981,0.0000000270955852744804
1982,0.0000000277837836571862
1983,0.0000000299464784264878
1984,0.0000000272505526977987
1985,0.0000000304726691092795
1986,0.0000000317149569215818
1987,0.0000000298480767393916
1988,0.0000000288635631040931
1989,0.0000000276155048317881
1990,0.0000000247706742424350
1991,0.0000000230006328036182
1992,0.0000000186226999366957
1993,0.0000000154473061152975
1994,0.0000000142338583102625
1995,0.0000000150701283971718
1996,0.0000000146625673923856
1997,0.0000000154253582952480
1998,0.0000000177412037595525
1999,0.0000000183719378237364
2000,0.0000000192711358438473
2001,0.0000000220296943053659
2002,0.0000000202360651296267
2003,0.0000000209766179490906
2004,0.0000000198628330251780
2005,0.0000000183287333301822
2006,0.0000000192314884964382
2007,0.0000000192119625922312
2008,0.0000000160549256845404
2009,0.0000000153887407504382
2010,0.0000000143385269847838
2011,0.0000000143526242835090
2012,0.0000000135560880715202
2013,0.0000000147098720684349
2014,0.0000000153841505006310
2015,0.0000000170908476949156
2016,0.0000000179726780154860
2017,0.0000000189765127390819
2018,0.0000000198642098658830
2019,0.0000000214198186132552