year,ngram,ngram-norm-min-max,ngram-norm-percentage,,,,average,variance,f test (vs previous period),percentage produced
1910,0.0000000000000000000000,0,0,,pre-stalin era,1910-1924,0.0005466305867,0.0000002949471095,,0.0002539000644
1911,0.0000000000000000000000,0,0,,stalin era,1925-1953,0.340031609,0.1223073323,0,0.3053478817
1912,0.0000000000136883718646,0.0001649881507,0.000005108935007,,post-stalin,1954-1990,0.4396694236,0.03497515322,0,0.5037390412
1913,0.0000000000136883718646,0.0001649881507,0.000005108935007,,post-soviet era (20th cent only),1991-2000,0.2071297504,0.001091514583,0,0.06413869287
1914,0.0000000000136883718646,0.0001649881507,0.000005108935007,,21st cent,2001-2019,0.2150451346,0.001031989784,0.873,0.1265204841
1915,0.0000000000136883718646,0.0001649881507,0.000005108935007,,,,,,(probably not an actual increase),
1916,0.0000000000136883718646,0.0001649881507,0.000005108935007,,min,0.0000000000000000000000,,,,
1917,0.0000000000136883718646,0.0001649881507,0.000005108935007,,max,0.0000000829657875614905,,,,
1918,0.0000000000410104252145,0.0004943052603,0.00001530639284,,,,,,,
1919,0.0000000000408204511859,0.0004920154727,0.0000152354885,,,,,,,
1920,0.0000000000848694061457,0.001022944621,0.00003167595711,,,,,,,
1921,0.0000000000848694061457,0.001022944621,0.00003167595711,,,,,,,
1922,0.0000000001077943240621,0.001299262349,0.00004023226438,,,,,,,
1923,0.0000000001077943240621,0.001299262349,0.00004023226438,,,,,,,
1924,0.0000000001309859889204,0.001578795221,0.00004888813008,,,,,,,
1925,0.0000000002347243956741,0.002829170946,0.00008760659734,,,,,,,
1926,0.0000000003300334370872,0.003977946173,0.0001231789578,,,,,,,
1927,0.0000000006530195709572,0.007870950064,0.0002437276383,,,,,,,
1928,0.0000000008694733147748,0.0104799019,0.0003245150482,,,,,,,
1929,0.0000000013988799146825,0.01686092492,0.0005221064008,,,,,,,
1930,0.0000000017867989449138,0.02153657547,0.0006668901,,,,,,,
1931,0.0000000028352302133034,0.0341734864,0.001058197939,,,,,,,
1932,0.0000000045238468447474,0.05452665463,0.001688443282,,,,,,,
1933,0.0000000050312540800235,0.06064251576,0.001877823773,,,,,,,
1934,0.0000000062007558571902,0.07473870904,0.00231431897,,,,,,,
1935,0.0000000101860745275025,0.1227743969,0.003801766438,,,,,,,
1936,0.0000000110263202774645,0.1329020142,0.004115372831,,,,,,,
1937,0.0000000116615060861770,0.1405580111,0.004352444343,,,,,,,
1938,0.0000000123461669776503,0.1488103391,0.004607981527,,,,,,,
1939,0.0000000137207673040722,0.1653786182,0.005121026014,,,,,,,
1940,0.0000000190874135187955,0.2300636694,0.007124028781,,,,,,,
1941,0.0000000229527339000247,0.2766529985,0.008566689077,,,,,,,
1942,0.0000000223292968678670,0.2691386115,0.008334002582,,,,,,,
1943,0.0000000284447595675997,0.3428492684,0.01061648744,,,,,,,
1944,0.0000000351474431265723,0.4236377929,0.01311814176,,,,,,,
1945,0.0000000445602425474296,0.5370917803,0.01663129738,,,,,,,
1946,0.0000000525213397237608,0.6330481668,0.01960263162,,,,,,,
1947,0.0000000566450254182607,0.6827516146,0.02114172206,,,,,,,
1948,0.0000000672840462849290,0.8109854467,0.02511254245,,,,,,,
1949,0.0000000721944247617749,0.8701710293,0.02694525161,,,,,,,
1950,0.0000000736928911920786,0.8882322866,0.02750452686,,,,,,,
1951,0.0000000764631533962350,0.9216227031,0.02853847667,,,,,,,
1952,0.0000000810253072652018,0.9766110785,0.03024121735,,,,,,,
1953,0.0000000829657875614905,1,0.03096546621,,,,,,,
1954,0.0000000800919447469754,0.9653611097,0.02989285683,,,,,,,
1955,0.0000000728175442404095,0.8776815888,0.02717781958,,,,,,,
1956,0.0000000709413146560145,0.8550670914,0.02647755113,,,,,,,
1957,0.0000000691235078778948,0.8331567735,0.02579908792,,,,,,,
1958,0.0000000658963220200632,0.7942589826,0.02459459969,,,,,,,
1959,0.0000000550016953272074,0.6629442924,0.02052837909,,,,,,,
1960,0.0000000456828609266387,0.5506228805,0.0170502942,,,,,,,
1961,0.0000000421331266264868,0.5078373612,0.01572542065,,,,,,,
1962,0.0000000395202052234327,0.4763433987,0.01475019542,,,,,,,
1963,0.0000000376393399464142,0.4536730266,0.01404819678,,,,,,,
1964,0.0000000343802676248751,0.414390903,0.01283180751,,,,,,,
1965,0.0000000316160465704421,0.3810733014,0.01180011244,,,,,,,
1966,0.0000000310235820247647,0.3739322308,0.01157898586,,,,,,,
1967,0.0000000304032661070850,0.3664554632,0.01134746426,,,,,,,
1968,0.0000000307084109450541,0.370133423,0.01146135401,,,,,,,
1969,0.0000000306655225448815,0.3696164822,0.01144534669,,,,,,,
1970,0.0000000287130827556730,0.346083411,0.01071663417,,,,,,,
1971,0.0000000287203723135192,0.3461712732,0.01071935486,,,,,,,
1972,0.0000000290837283472725,0.350550862,0.01085497087,,,,,,,
1973,0.0000000277704030892032,0.3347211412,0.01036479619,,,,,,,
1974,0.0000000277075290617902,0.3339633104,0.0103413296,,,,,,,
1975,0.0000000267035922630173,0.3218626984,0.009966628514,,,,,,,
1976,0.0000000236888180163033,0.2855251389,0.008841419041,,,,,,,
1977,0.0000000273392214006351,0.3295240388,0.01020386549,,,,,,,
1978,0.0000000261266850921727,0.3149091434,0.00975130844,,,,,,,
1979,0.0000000243199391587535,0.2931321437,0.009076973491,,,,,,,
1980,0.0000000264880658845271,0.3192649243,0.009886187226,,,,,,,
1981,0.0000000270955852744804,0.3265874533,0.01011293275,,,,,,,
1982,0.0000000277837836571862,0.3348824193,0.01036979024,,,,,,,
1983,0.0000000299464784264878,0.3609497277,0.0111769766,,,,,,,
1984,0.0000000272505526977987,0.3284553007,0.01017077152,,,,,,,
1985,0.0000000304726691092795,0.3672919887,0.01137336767,,,,,,,
1986,0.0000000317149569215818,0.3822654838,0.01183702892,,,,,,,
1987,0.0000000298480767393916,0.3597636763,0.01114024996,,,,,,,
1988,0.0000000288635631040931,0.3478971749,0.01077279821,,,,,,,
1989,0.0000000276155048317881,0.3328541275,0.01030698324,,,,,,,
1990,0.0000000247706742424350,0.2985649262,0.009245202136,,,,,,,
1991,0.0000000230006328036182,0.2772303317,0.008584566469,,,,,,,
1992,0.0000000186226999366957,0.2244624017,0.006950582917,,,,,,,
1993,0.0000000154473061152975,0.1861888686,0.005765425119,,,,,,,
1994,0.0000000142338583102625,0.1715629867,0.005312527869,,,,,,,
1995,0.0000000150701283971718,0.1816426848,0.005624650418,,,,,,,
1996,0.0000000146625673923856,0.1767302863,0.005472535711,,,,,,,
1997,0.0000000154253582952480,0.185924328,0.005757233495,,,,,,,
1998,0.0000000177412037595525,0.2138375863,0.006621580555,,,,,,,
1999,0.0000000183719378237364,0.2214399256,0.006856990534,,,,,,,
2000,0.0000000192711358438473,0.2322781041,0.007192599786,,,,,,,
2001,0.0000000220296943053659,0.2655274536,0.008222181393,,,,,,,
2002,0.0000000202360651296267,0.2439085522,0.007552742034,,,,,,,
2003,0.0000000209766179490906,0.2528345546,0.00782913986,,,,,,,
2004,0.0000000198628330251780,0.2394099256,0.007413439962,,,,,,,
2005,0.0000000183287333301822,0.2209191749,0.006840865245,,,,,,,
2006,0.0000000192314884964382,0.2318002283,0.007177802137,,,,,,,
2007,0.0000000192119625922312,0.2315648794,0.00717051445,,,,,,,
2008,0.0000000160549256845404,0.1935126051,0.005992208035,,,,,,,
2009,0.0000000153887407504382,0.1854829708,0.005743566665,,,,,,,
2010,0.0000000143385269847838,0.1728245751,0.005351593542,,,,,,,
2011,0.0000000143526242835090,0.1729944921,0.005356855101,,,,,,,
2012,0.0000000135560880715202,0.1633937129,0.005059562496,,,,,,,
2013,0.0000000147098720684349,0.1773004572,0.005490191318,,,,,,,
2014,0.0000000153841505006310,0.1854276438,0.005741853438,,,,,,,
2015,0.0000000170908476949156,0.2059987399,0.006378847021,,,,,,,
2016,0.0000000179726780154860,0.2166275828,0.006707974097,,,,,,,
2017,0.0000000189765127390819,0.2287269644,0.007082637089,,,,,,,
2018,0.0000000198642098658830,0.2394265209,0.007413953842,,,,,,,
2019,0.0000000214198186132552,0.2581765236,0.00799455642,,,,,,,